time,open,high,low,close,tick_volume,spread,real_volume
2023-01-02 07:00:00,1.07016,1.07017,1.06909,1.06967,340,1,0
2023-01-02 08:00:00,1.06971,1.06989,1.06754,1.06935,554,5,0
2023-01-02 09:00:00,1.06916,1.0692,1.06636,1.06791,883,4,0
2023-01-02 10:00:00,1.06791,1.0698,1.06713,1.06788,2164,0,0
2023-01-02 11:00:00,1.06789,1.07005,1.06769,1.06784,2189,0,0
2023-01-02 12:00:00,1.06788,1.06898,1.06749,1.06836,781,0,0
2023-01-02 13:00:00,1.06836,1.06866,1.06804,1.06846,602,0,0
2023-01-02 14:00:00,1.06845,1.06871,1.06783,1.0682,885,0,0
2023-01-02 15:00:00,1.06821,1.06863,1.0677699999999999,1.06788,956,0,0
2023-01-02 16:00:00,1.06787,1.06819,1.06703,1.06725,1103,0,0
2023-01-02 17:00:00,1.06724,1.0674,1.06585,1.06603,1669,0,0
2023-01-02 18:00:00,1.06602,1.06696,1.0651,1.06554,1510,0,0
2023-01-02 19:00:00,1.06549,1.06621,1.06544,1.06607,744,0,0
2023-01-02 20:00:00,1.06604,1.0661100000000001,1.06522,1.06526,703,0,0
2023-01-02 21:00:00,1.06525,1.06577,1.06499,1.06574,504,0,0
2023-01-02 22:00:00,1.06575,1.06685,1.06559,1.0667,646,7,0
2023-01-02 23:00:00,1.06651,1.06727,1.0658,1.06665,508,9,0
2023-01-03 00:00:00,1.06642,1.06652,1.06628,1.06648,213,11,0
2023-01-03 01:00:00,1.0665499999999999,1.0683,1.06493,1.06762,3072,2,0
2023-01-03 02:00:00,1.06762,1.06781,1.06665,1.06706,2527,1,0
2023-01-03 03:00:00,1.06705,1.06742,1.06503,1.06597,4863,0,0
2023-01-03 04:00:00,1.06596,1.06778,1.06575,1.06766,3829,1,0
2023-01-03 05:00:00,1.06765,1.06784,1.06687,1.06724,2859,0,0
2023-01-03 06:00:00,1.06724,1.06802,1.06668,1.0667,2028,0,0
2023-01-03 07:00:00,1.0667,1.06709,1.06588,1.06637,3327,0,0
2023-01-03 08:00:00,1.06637,1.06677,1.06516,1.06522,4216,0,0
2023-01-03 09:00:00,1.06523,1.06588,1.06198,1.06234,6989,0,0
2023-01-03 10:00:00,1.06234,1.06284,1.05505,1.0552,13028,0,0
2023-01-03 11:00:00,1.0552,1.05611,1.05339,1.05476,9896,0,0
2023-01-03 12:00:00,1.05479,1.05551,1.05252,1.05311,7183,0,0
2023-01-03 13:00:00,1.05312,1.0536,1.05196,1.05285,6122,0,0
2023-01-03 14:00:00,1.05284,1.05492,1.0524,1.05357,6214,0,0
2023-01-03 15:00:00,1.05356,1.057,1.05305,1.05604,8523,0,0
2023-01-03 16:00:00,1.05604,1.05974,1.05554,1.05743,10225,0,0
2023-01-03 17:00:00,1.05747,1.05822,1.05543,1.05555,11970,0,0
2023-01-03 18:00:00,1.05554,1.0559,1.05372,1.05581,9358,0,0
2023-01-03 19:00:00,1.05582,1.05593,1.05403,1.05461,5669,0,0
2023-01-03 20:00:00,1.05463,1.05609,1.05433,1.05567,4387,0,0
2023-01-03 21:00:00,1.05567,1.05686,1.05552,1.05665,5400,0,0
2023-01-03 22:00:00,1.05668,1.05689,1.05505,1.05516,5418,0,0
2023-01-03 23:00:00,1.05517,1.0554,1.05459,1.0547,1885,0,0
2023-01-04 00:00:00,1.05465,1.05471,1.05428,1.05462,3703,26,0
2023-01-04 01:00:00,1.05462,1.05539,1.05402,1.05455,3384,2,0
2023-01-04 02:00:00,1.05455,1.05612,1.05453,1.05579,2374,1,0
2023-01-04 03:00:00,1.05583,1.05691,1.05569,1.05667,2971,0,0
2023-01-04 04:00:00,1.05667,1.05694,1.05612,1.05646,2242,0,0
2023-01-04 05:00:00,1.0565,1.05698,1.05646,1.05686,1619,0,0
2023-01-04 06:00:00,1.05687,1.05743,1.05656,1.05729,1970,0,0
2023-01-04 07:00:00,1.05725,1.0578400000000001,1.05647,1.05693,3032,0,0
2023-01-04 08:00:00,1.05693,1.0575,1.05594,1.05701,2577,0,0
2023-01-04 09:00:00,1.05692,1.06058,1.0567,1.05937,7846,0,0
2023-01-04 10:00:00,1.05936,1.06354,1.05903,1.0616,12095,0,0
2023-01-04 11:00:00,1.06155,1.06301,1.06056,1.06109,7609,0,0
2023-01-04 12:00:00,1.06109,1.06229,1.06085,1.06207,5562,0,0
2023-01-04 13:00:00,1.06207,1.06244,1.06023,1.06045,4942,0,0
2023-01-04 14:00:00,1.06045,1.06112,1.05987,1.06071,5816,0,0
2023-01-04 15:00:00,1.06075,1.06197,1.05949,1.06105,7928,0,0
2023-01-04 16:00:00,1.06106,1.06286,1.06023,1.06243,9981,0,0
2023-01-04 17:00:00,1.06239,1.06251,1.05812,1.06034,15746,0,0
2023-01-04 18:00:00,1.06034,1.06208,1.05928,1.06191,9324,0,0
2023-01-04 19:00:00,1.06194,1.06201,1.06048,1.06074,5581,0,0
2023-01-04 20:00:00,1.06074,1.06129,1.05956,1.05991,4637,0,0
2023-01-04 21:00:00,1.05992,1.06068,1.05851,1.06056,11584,0,0
2023-01-04 22:00:00,1.06056,1.06103,1.06012,1.06035,6507,0,0
